FECHA_UTC,HORA_UTC,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,FECHA_CORTE,geometry,index_right,NOMBDEP,NOMBPROV,NOMBDIST,UBIGEO
19611108,193000,-13.98,-71.9,20,5.2,20223006,POINT (-71.9 -13.98),872.0,CUSCO,PARURO,ACCHA,081002
19611110,20734,-14.3,-71.9,68,5.6,20223006,POINT (-71.9 -14.3),581.0,CUSCO,CHUMBIVILCAS,CHAMACA,080703
19611123,111728,-5.6,-80.3,61,6.1,20223006,POINT (-80.3 -5.6),121.0,PIURA,PIURA,CATACAOS,200105
19611129,203809,-7.2,-76.4,33,5.8,20223006,POINT (-76.4 -7.2),572.0,SAN MARTIN,BELLAVISTA,ALTO BIAVO,220202
19611209,35855,-14.9,-75.7,39,5.3,20223006,POINT (-75.7 -14.9),,,,,
19611224,142531,-5.7,-80.9,33,6.1,20223006,POINT (-80.9 -5.7),,,,,
19620102,52341,-18.1,-70.6,77,5.3,20223006,POINT (-70.6 -18.1),1543.0,TACNA,TACNA,TACNA,230101
19620125,72604,-15.7,-69.6,190,4.6,20223006,POINT (-69.6 -15.7),,,,,
19620301,21237,-15.7,-74.3,64,5.9,20223006,POINT (-74.3 -15.7),1661.0,AREQUIPA,CARAVELI,ATIQUIPA,040304
19620312,15237,-13.9,-72.6,91,5.0,20223006,POINT (-72.6 -13.9),1264.0,APURIMAC,GRAU,GAMARRA,030703
19620319,210416,-16.8,-73.5,33,5.1,20223006,POINT (-73.5 -16.8),,,,,
19620322,205036,-14.9,-70.7,119,5.1,20223006,POINT (-70.7 -14.9),241.0,PUNO,MELGAR,UMACHIRI,210809
19620418,191437,-10.0,-79.0,39,6.7,20223006,POINT (-79 -10),,,,,
19620715,144350,-9.3,-78.9,80,5.9,20223006,POINT (-78.9 -9.3),,,,,
19620725,60515,-14.3,-75.5,100,5.2,20223006,POINT (-75.5 -14.3),921.0,ICA,ICA,SANTIAGO,110111
19620725,65556,-16.3,-75.0,33,5.3,20223006,POINT (-75 -16.3),,,,,
19620824,131537,-17.5,-70.4,92,5.7,20223006,POINT (-70.4 -17.5),1568.0,TACNA,TACNA,INCLAN,230105
19620830,62228,-17.4,-69.8,145,5.3,20223006,POINT (-69.8 -17.4),1746.0,TACNA,TARATA,TARATA,230401
19620909,32156,-15.6,-73.4,98,5.3,20223006,POINT (-73.4 -15.6),1662.0,AREQUIPA,CARAVELI,CAHUACHO,040306
19620920,92526,-15.5,-76.1,33,5.2,20223006,POINT (-76.1 -15.5),,,,,
19620922,164531,-15.5,-73.1,137,5.2,20223006,POINT (-73.1 -15.5),62.0,AREQUIPA,LA UNION,TORO,040811
19620928,221452,-13.8,-76.7,61,4.8,20223006,POINT (-76.7 -13.8),,,,,
19620929,75820,-17.1,-70.5,33,6.0,20223006,POINT (-70.5 -17.1),1553.0,MOQUEGUA,MARISCAL NIETO,TORATA,180106
19621020,63329,-17.2,-69.7,153,5.3,20223006,POINT (-69.7 -17.2),182.0,PUNO,EL COLLAO,CAPAZO,210502
19621108,210,-15.1,-75.4,44,5.3,20223006,POINT (-75.4 -15.1),,,,,
19621115,232515,-8.7,-79.8,45,6.2,20223006,POINT (-79.8 -8.7),,,,,
19621123,3004,-15.262,-75.512,20,5.9,20223006,POINT (-75.512 -15.262),,,,,
19621224,174305,-8.4,-78.7,80,5.1,20223006,POINT (-78.7 -8.4),1318.0,LA LIBERTAD,VIRU,VIRU,131201
19630116,202051,-3.9,-76.8,102,6.0,20223006,POINT (-76.8 -3.9),1374.0,LORETO,DATEM DEL MARAÑON,PASTAZA,160705
19630117,42219,-10.7,-79.0,21,4.9,20223006,POINT (-79 -10.7),,,,,
19630117,193059,-8.3,-75.1,124,5.8,20223006,POINT (-75.1 -8.3),1630.0,UCAYALI,PADRE ABAD,CURIMANA,250303
19630122,83235,-11.6,-75.0,47,4.9,20223006,POINT (-75 -11.6),1775.0,JUNIN,CONCEPCION,COMAS,120206
19630203,111809,-9.1,-77.1,33,4.6,20223006,POINT (-77.1 -9.1),34.0,ANCASH,ANTONIO RAYMONDI,MIRGAS,020305
19630216,213222,-8.5,-80.1,33,5.2,20223006,POINT (-80.1 -8.5),,,,,
19630224,53819,-15.1,-72.5,97,5.3,20223006,POINT (-72.5 -15.1),59.0,AREQUIPA,LA UNION,PUYCA,040806
19630227,110042,-15.1,-73.6,105,5.5,20223006,POINT (-73.6 -15.1),615.0,AYACUCHO,PARINACOCHAS,CHUMPI,050702
19630304,154302,-4.5,-81.6,23,5.6,20223006,POINT (-81.6 -4.5),,,,,
19630304,183151,-15.8,-75.3,40,5.3,20223006,POINT (-75.3 -15.8),,,,,
19630305,70500,-4.5,-81.5,22,5.8,20223006,POINT (-81.5 -4.5),,,,,
19630331,44559,-6.6,-81.2,31,5.5,20223006,POINT (-81.2 -6.6),,,,,
19630331,55100,-10.8,-78.5,32,5.8,20223006,POINT (-78.5 -10.8),,,,,
19630403,13559,-4.8,-78.4,33,4.9,20223006,POINT (-78.4 -4.8),1346.0,AMAZONAS,BAGUA,IMAZA,010205
19630404,82626,-16.3,-73.0,95,5.0,20223006,POINT (-73 -16.3),79.0,AREQUIPA,CAMANA,OCOÑA,040206
19630406,4300,-18.0,-69.9,159,4.8,20223006,POINT (-69.9 -18),1543.0,TACNA,TACNA,TACNA,230101
19630413,22058,-6.2,-76.5,125,6.9,20223006,POINT (-76.5 -6.2),1417.0,SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,220508
19630428,52205,-11.7,-78.1,10,5.3,20223006,POINT (-78.1 -11.7),,,,,
19630430,184307,-8.3,-80.0,9,5.4,20223006,POINT (-80 -8.3),,,,,
19630510,130522,-8.0,-74.4,143,4.9,20223006,POINT (-74.4 -8),1633.0,UCAYALI,CORONEL PORTILLO,CALLERIA,250101
19630517,141105,-14.1,-73.9,94,5.4,20223006,POINT (-73.9 -14.1),841.0,AYACUCHO,SUCRE,MORCOLLA,050906
19630526,124346,-16.9,-72.4,47,5.1,20223006,POINT (-72.4 -16.9),,,,,
19630526,191339,-5.5,-81.2,33,5.1,20223006,POINT (-81.2 -5.5),,,,,
19630618,153955,-5.3,-78.5,33,4.9,20223006,POINT (-78.5 -5.3),1345.0,AMAZONAS,BAGUA,ARAMANGO,010202
